config,slot,status,name,variant,output,removed_edge_green_pixels
items-0001-0050,1,PASS,gold coins,single,public/game-assets/items/currency/gold_coins.png,8293
items-0001-0050,2,SKIP_FEW,gold coins,few,public/game-assets/items/currency/gold_coins_few.png,0
items-0001-0050,3,PASS,gold coins,many,public/game-assets/items/currency/gold_coins_many.png,14986
items-0001-0050,4,PASS,silver coins,single,public/game-assets/items/currency/silver_coins.png,8475
items-0001-0050,5,SKIP_FEW,silver coins,few,public/game-assets/items/currency/silver_coins_few.png,0
items-0001-0050,6,PASS,silver coins,many,public/game-assets/items/currency/silver_coins_many.png,14368
items-0001-0050,7,PASS,copper coins,single,public/game-assets/items/currency/copper_coins.png,12741
items-0001-0050,8,SKIP_FEW,copper coins,few,public/game-assets/items/currency/copper_coins_few.png,0
items-0001-0050,9,PASS,copper coins,many,public/game-assets/items/currency/copper_coins_many.png,13534
items-0001-0050,10,PASS,Sunwake Harbor Company Share,single,public/game-assets/items/document/sunwake_harbor_company_share.png,11028
items-0001-0050,11,PASS,Painted Coast Annals I: First Lanterns,single,public/game-assets/items/book/painted_coast_annals_i_first_lanterns.png,11505
items-0001-0050,12,PASS,Painted Coast Annals II: Crownfall Roads,single,public/game-assets/items/book/painted_coast_annals_ii_crownfall_roads.png,17587
items-0001-0050,13,PASS,Painted Coast Annals III: Guild Charms,single,public/game-assets/items/book/painted_coast_annals_iii_guild_charms.png,20302
items-0001-0050,14,PASS,Painted Coast Annals IV: The Sundering Tide,single,public/game-assets/items/book/painted_coast_annals_iv_the_sundering_tide.png,16724
items-0001-0050,15,PASS,Painted Coast Annals V: Springtide Markets,single,public/game-assets/items/book/painted_coast_annals_v_springtide_markets.png,17048
items-0001-0050,16,PASS,Painted Coast Annals VI: The Banner Wars,single,public/game-assets/items/book/painted_coast_annals_vi_the_banner_wars.png,19826
items-0001-0050,17,PASS,Painted Coast Annals VII: The Long Dusk,single,public/game-assets/items/book/painted_coast_annals_vii_the_long_dusk.png,15727
items-0001-0050,18,PASS,Painted Coast Annals VIII: Guildrule,single,public/game-assets/items/book/painted_coast_annals_viii_guildrule.png,15421
items-0001-0050,19,PASS,Amberwick Harbor Chronicle,single,public/game-assets/items/book/amberwick_harbor_chronicle.png,19006
items-0001-0050,20,PASS,Highbell Shrine Chronicle,single,public/game-assets/items/book/highbell_shrine_chronicle.png,9539
items-0001-0050,21,PASS,Stormmere Ledger Chronicle,single,public/game-assets/items/book/stormmere_ledger_chronicle.png,14656
items-0001-0050,22,PASS,Crownfall Hill Chronicle,single,public/game-assets/items/book/crownfall_hill_chronicle.png,15851
items-0001-0050,23,PASS,Embercourt Market Chronicle,single,public/game-assets/items/book/embercourt_market_chronicle.png,15182
items-0001-0050,24,PASS,Brasskeep Gate Chronicle,single,public/game-assets/items/book/brasskeep_gate_chronicle.png,15603
items-0001-0050,25,PASS,Pearlgate Tide Chronicle,single,public/game-assets/items/book/pearlgate_tide_chronicle.png,15740
items-0001-0050,26,PASS,Riverwake Mill Chronicle,single,public/game-assets/items/book/riverwake_mill_chronicle.png,15378
items-0001-0050,27,PASS,Dawnmere Coast Chronicle,single,public/game-assets/items/book/dawnmere_coast_chronicle.png,15214
items-0001-0050,28,PASS,Appleford Orchard Chronicle,single,public/game-assets/items/book/appleford_orchard_chronicle.png,15112
items-0001-0050,29,PASS,Wolfhook Bay Chronicle,single,public/game-assets/items/book/wolfhook_bay_chronicle.png,15434
items-0001-0050,30,PASS,Mirrorfen Lake Chronicle,single,public/game-assets/items/book/mirrorfen_lake_chronicle.png,15275
items-0001-0050,31,PASS,Oldwake Harbor Chronicle,single,public/game-assets/items/book/oldwake_harbor_chronicle.png,13772
items-0001-0050,32,PASS,Gatecrag Toll Chronicle,single,public/game-assets/items/book/gatecrag_toll_chronicle.png,14298
items-0001-0050,33,PASS,Frosthaven Snow Chronicle,single,public/game-assets/items/book/frosthaven_snow_chronicle.png,14395
items-0001-0050,34,PASS,Sunwell Oasis Chronicle,single,public/game-assets/items/book/sunwell_oasis_chronicle.png,14188
items-0001-0050,35,PASS,Glassmere Court Chronicle,single,public/game-assets/items/book/glassmere_court_chronicle.png,14402
items-0001-0050,36,PASS,Blue Enamel Charms,single,public/game-assets/items/book/blue_enamel_charms.png,15680
