sheet,globalSlot,row,column,itemName,variant,output,status,warnings,margin_1024,components,kept_area,green_pixels
items-0001-0050,1,1,1,gold coins,single,public/game-assets/items/currency/gold_coins.png,PASS,,51,1,9517,0
items-0001-0050,2,1,2,gold coins,few,public/game-assets/items/currency/gold_coins_few.png,PASS,,51,1,9557,0
items-0001-0050,3,1,3,gold coins,many,public/game-assets/items/currency/gold_coins_many.png,PASS,source_crossed_nominal_cell,51,1,21060,0
items-0001-0050,4,1,4,silver coins,single,public/game-assets/items/currency/silver_coins.png,PASS,,51,1,9572,0
items-0001-0050,5,1,5,silver coins,few,public/game-assets/items/currency/silver_coins_few.png,PASS,,51,1,10871,0
items-0001-0050,6,1,6,silver coins,many,public/game-assets/items/currency/silver_coins_many.png,PASS,source_crossed_nominal_cell,51,1,20431,0
items-0001-0050,7,1,7,copper coins,single,public/game-assets/items/currency/copper_coins.png,PASS,,51,1,9553,0
items-0001-0050,8,1,8,copper coins,few,public/game-assets/items/currency/copper_coins_few.png,PASS,source_crossed_nominal_cell,51,2,19805,0
items-0001-0050,9,1,9,copper coins,many,public/game-assets/items/currency/copper_coins_many.png,PASS,source_crossed_nominal_cell,51,1,21615,0
items-0001-0050,10,1,10,Sunwake Harbor Company Share,single,public/game-assets/items/document/sunwake_harbor_company_share.png,PASS,source_crossed_nominal_cell,51,1,16439,0
items-0001-0050,11,2,1,Painted Coast Annals I: First Lanterns,single,public/game-assets/items/book/painted_coast_annals_i_first_lanterns.png,PASS,source_crossed_nominal_cell,51,1,17411,0
items-0001-0050,12,2,2,Painted Coast Annals II: Crownfall Roads,single,public/game-assets/items/book/painted_coast_annals_ii_crownfall_roads.png,PASS,source_crossed_nominal_cell,51,1,17156,0
items-0001-0050,13,2,3,Painted Coast Annals III: Guild Charms,single,public/game-assets/items/book/painted_coast_annals_iii_guild_charms.png,PASS,source_crossed_nominal_cell,51,1,17547,0
items-0001-0050,14,2,4,Painted Coast Annals IV: The Sundering Tide,single,public/game-assets/items/book/painted_coast_annals_iv_the_sundering_tide.png,PASS,source_crossed_nominal_cell,51,1,17472,0
items-0001-0050,15,2,5,Painted Coast Annals V: Springtide Markets,single,public/game-assets/items/book/painted_coast_annals_v_springtide_markets.png,PASS,source_crossed_nominal_cell,51,2,14383,0
items-0001-0050,16,2,6,Painted Coast Annals VI: The Banner Wars,single,public/game-assets/items/book/painted_coast_annals_vi_the_banner_wars.png,PASS,source_crossed_nominal_cell,51,1,17629,0
items-0001-0050,17,2,7,Painted Coast Annals VII: The Long Dusk,single,public/game-assets/items/book/painted_coast_annals_vii_the_long_dusk.png,PASS,source_crossed_nominal_cell,51,1,17622,0
items-0001-0050,18,2,8,Painted Coast Annals VIII: Guildrule,single,public/game-assets/items/book/painted_coast_annals_viii_guildrule.png,PASS,source_crossed_nominal_cell,51,1,17701,0
