globalSlot,batchFile,sheetSlot,itemIndex,itemName,variant,output,exists,family,subfamily,tradeRole,reviewStatus,reviewNotes,tokens
1,items-0001-0050.json,1,0,gold coins,one,currency/gold_coins.png,yes,currency,coins,currency,,,gold_coins gold coins gold coins currency coins currency common pile none coins gold_coins currency one few many crafted common bulk_trade
2,items-0001-0050.json,2,0,gold coins,few,currency/gold_coins_few.png,yes,currency,coins,currency,,,gold_coins gold coins gold coins currency coins currency common pile none coins gold_coins currency one few many crafted common bulk_trade
3,items-0001-0050.json,3,0,gold coins,many,currency/gold_coins_many.png,yes,currency,coins,currency,,,gold_coins gold coins gold coins currency coins currency common pile none coins gold_coins currency one few many crafted common bulk_trade
4,items-0001-0050.json,4,1,silver coins,one,currency/silver_coins.png,yes,currency,coins,currency,,,silver_coins silver coins silver coins currency coins currency common pile none coins silver_coins currency one few many crafted common bulk_trade
5,items-0001-0050.json,5,1,silver coins,few,currency/silver_coins_few.png,yes,currency,coins,currency,,,silver_coins silver coins silver coins currency coins currency common pile none coins silver_coins currency one few many crafted common bulk_trade
6,items-0001-0050.json,6,1,silver coins,many,currency/silver_coins_many.png,yes,currency,coins,currency,,,silver_coins silver coins silver coins currency coins currency common pile none coins silver_coins currency one few many crafted common bulk_trade
7,items-0001-0050.json,7,2,copper coins,one,currency/copper_coins.png,yes,currency,coins,currency,,,copper_coins copper coins copper coins currency coins currency common pile none coins copper_coins currency one few many crafted common bulk_trade
8,items-0001-0050.json,8,2,copper coins,few,currency/copper_coins_few.png,yes,currency,coins,currency,,,copper_coins copper coins copper coins currency coins currency common pile none coins copper_coins currency one few many crafted common bulk_trade
9,items-0001-0050.json,9,2,copper coins,many,currency/copper_coins_many.png,yes,currency,coins,currency,,,copper_coins copper coins copper coins currency coins currency common pile none coins copper_coins currency one few many crafted common bulk_trade
10,items-0001-0050.json,10,3,Sunwake Harbor Company Share,one,document/sunwake_harbor_company_share.png,yes,document,company_stake,document,,,sunwake_harbor_company_share sunwake harbor company share sunwake harbor company share document company_stake document unique book none company_stake document one crafted common fine masterwork antique fragile
11,items-0001-0050.json,11,4,Painted Coast Annals I: First Lanterns,one,book/painted_coast_annals_i_first_lanterns.png,yes,book,history,document,,,painted_coast_annals_i_first_lanterns painted coast annals i: first lanterns painted coast annals i: first lanterns book history document common book none books history book document one crafted common fragile dry
12,items-0001-0050.json,12,5,Painted Coast Annals II: Crownfall Roads,one,book/painted_coast_annals_ii_crownfall_roads.png,yes,book,history,document,,,painted_coast_annals_ii_crownfall_roads painted coast annals ii: crownfall roads painted coast annals ii: crownfall roads book history document common book none books history book document one crafted common fragile dry
13,items-0001-0050.json,13,6,Painted Coast Annals III: Guild Charms,one,book/painted_coast_annals_iii_guild_charms.png,yes,book,history,document,,,painted_coast_annals_iii_guild_charms painted coast annals iii: guild charms painted coast annals iii: guild charms book history document common book none books history book document one crafted common fragile dry
14,items-0001-0050.json,14,7,Painted Coast Annals IV: The Sundering Tide,one,book/painted_coast_annals_iv_the_sundering_tide.png,yes,book,history,document,,,painted_coast_annals_iv_the_sundering_tide painted coast annals iv: the sundering tide painted coast annals iv: the sundering tide book history document common book none books history book document one crafted common fragile dry
15,items-0001-0050.json,15,8,Painted Coast Annals V: Springtide Markets,one,book/painted_coast_annals_v_springtide_markets.png,yes,book,history,document,,,painted_coast_annals_v_springtide_markets painted coast annals v: springtide markets painted coast annals v: springtide markets book history document common book none books history book document one crafted common fragile dry
16,items-0001-0050.json,16,9,Painted Coast Annals VI: The Banner Wars,one,book/painted_coast_annals_vi_the_banner_wars.png,yes,book,history,document,,,painted_coast_annals_vi_the_banner_wars painted coast annals vi: the banner wars painted coast annals vi: the banner wars book history document common book none books history book document one crafted common fragile dry
17,items-0001-0050.json,17,10,Painted Coast Annals VII: The Long Dusk,one,book/painted_coast_annals_vii_the_long_dusk.png,yes,book,history,document,,,painted_coast_annals_vii_the_long_dusk painted coast annals vii: the long dusk painted coast annals vii: the long dusk book history document common book none books history book document one crafted common fragile dry
18,items-0001-0050.json,18,11,Painted Coast Annals VIII: Guildrule,one,book/painted_coast_annals_viii_guildrule.png,yes,book,history,document,,,painted_coast_annals_viii_guildrule painted coast annals viii: guildrule painted coast annals viii: guildrule book history document common book none books history book document one crafted common fragile dry
19,items-0001-0050.json,19,12,Amberwick Harbor Chronicle,one,book/amberwick_harbor_chronicle.png,yes,book,history,document,,,amberwick_harbor_chronicle amberwick harbor chronicle amberwick harbor chronicle book history document common book none books history book document one crafted common fragile dry
20,items-0001-0050.json,20,13,Highbell Shrine Chronicle,one,book/highbell_shrine_chronicle.png,yes,book,history,document,,,highbell_shrine_chronicle highbell shrine chronicle highbell shrine chronicle book history document common book none books history book document one crafted common fragile dry
21,items-0001-0050.json,21,14,Stormmere Ledger Chronicle,one,book/stormmere_ledger_chronicle.png,yes,book,history,document,,,stormmere_ledger_chronicle stormmere ledger chronicle stormmere ledger chronicle book history document common book none books history book document one crafted common fragile dry
22,items-0001-0050.json,22,15,Crownfall Hill Chronicle,one,book/crownfall_hill_chronicle.png,yes,book,history,document,,,crownfall_hill_chronicle crownfall hill chronicle crownfall hill chronicle book history document common book none books history book document one crafted common fragile dry
23,items-0001-0050.json,23,16,Embercourt Market Chronicle,one,book/embercourt_market_chronicle.png,yes,book,history,document,,,embercourt_market_chronicle embercourt market chronicle embercourt market chronicle book history document common book none books history book document one crafted common fragile dry
